title,author,abstract,filename
О коэрцитивности выпуклых функционалов,"\it В.Я.\,Прудников",Не найдено,07-9-2005.tex
О коэрцитивности выпуклых функционалов,"\it В.Я.\,Прудников",Не найдено,07-9.TEX
К оценкам частных сумм рядов Фурье функций ограниченной вариации,"\it А.Ю.\,Попов, С.А.\,Теляковский",Не найдено,08-01-2000.tex
"Об оценках погрешности приближенных


решений в задачах линейной теории термоупругости","\it А.В.\,Музалевский, С.И.\,Репин",Не найдено,08-01-2005.tex
"Об оценках погрешности приближенных


решений в задачах линейной теории термоупругости","\it А.В.\,Музалевский, С.И.\,Репин",Не найдено,08-01.TEX
"О топологических группах со счетным множеством 


монотетичных подгрупп","\it Ю.Н.\,Мухин",Не найдено,08-02-2000.tex
"О топологических группах со счетным множеством 


монотетичных подгрупп","\it Ю.Н.\,Мухин",Не найдено,08-02.TEX
"К абстрактной теории приближенных методов\\


решения линейных операторных уравнений","\it Н.Б.\,Плещинский",Не найдено,08-03-2000.tex
"К абстрактной теории приближенных методов\\


решения линейных операторных уравнений","\it Н.Б.\,Плещинский",Не найдено,08-03.TEX
"О некоторых симметриях и инвариантных решениях\\


уравнений динамики неньютоновской жидкости. I","\it С.Л.\,Тонконог, Л.Д.\,Эскин",Не найдено,08-1-1998.tex
"Матричное нелинейное уравнение Шредингера\\ 


и соответствующая иерархия уравнений","\it Л.А.\,Сахнович",Не найдено,08-1-1999.tex
"Задача о скачке для уравнения Гельмгольца\\ в плоскослоистой среде


и ее приложения","\it А.\,Махер, Н.Б.\,Плещинский",Не найдено,08-1-2002.tex
"Весовые оценки решения задачи Дирихле\\


с анизотропным вырождением на части границы","\it М.Р.\,Тимербаев",Не найдено,08-1-2003.tex
"Эллипсоидальное оценивание состояния\\ дискретных систем


управления\\ с помощью матричных систем сравнения","\it А.И.\,Маликов",Не найдено,08-1-2004.tex
"Эллипсоидальное оценивание состояния\\ дискретных систем


управления\\ с помощью матричных систем сравнения","\it А.И.\,Маликов",Не найдено,08-1.TEX
Не найдено,"\it А.Г.\,Лосев",Не найдено,08-10-1997.tex
"Приведение к каноническому виду\\


пары эрмитовых форм\,${","\it Д.А.\,Калинин",Не найдено,08-10-1998.tex
$k$-растянутость топологических пространств\\ и выпуклость,"\it Г.С.\,Тюгашов",Не найдено,08-10-1999.tex
Обобщенные свертки $H$-преобразований,"\it В.А.\,Какичев, Нгуен Суан Тхао",Не найдено,08-10-2000.tex
"О неподвижных точках операторов \\ 


с гетеротонной производной","\it И.Н.\,Майборода, Л.А.\,Островецкий",Не найдено,08-10-2001.tex
"К вопросу о единственности решения краевых задач  


нелинейной теории тонких оболочек","\it С.Н.\,Тимергалиев",Не найдено,08-10-2003.tex
"КОГОМОЛОГИИ ДВОЙНОГО КОМПЛЕКСА БРЫЛИНСКОГО


ПУАССОНОВЫХ МНОГООБРАЗИЙ\\ И КВАНТОВЫЕ КОГОМОЛОГИИ ДЕ РАМА","\it В.В.\,ШУРЫГИН $($мл.$)$",Не найдено,08-10-2004.tex
"О задаче типа Геллерстедта 


для уравнения второго рода","\it Р.С.\,Хайруллин",Не найдено,08-10-2005.tex
"О задаче типа Геллерстедта 


для уравнения второго рода","\it Р.С.\,Хайруллин",Не найдено,08-10.TEX
"О критерии устойчивости одного скалярного уравнения\\


с постоянным запаздыванием и периодическим коэффициентом","\it С.М.\,Седова",Не найдено,08-11-1997.tex
"Решение сингулярных уравнений, \\


преобразованных к наилучшему аргументу","\it Е.Б.\,Кузнецов, В.И.\,Шалашилин",Не найдено,08-11-1998.tex
Голоморфные конформные субмерсии,"\it С.И.\,Окрут",Не найдено,08-11-1999.tex
"О выборе параметров в методе\\  


регуляризации $L$\,-псевдообращения","\it Р.А.\,Шафиев, И.Ю.\,Ястребова ",Не найдено,08-11-2001.tex
"Некоторые топологические свойства  


многообразий над локальной алгеброй,  


допускающих голоморфные вложения","\it М.А.\,Микенберг",Не найдено,08-11-2002.tex
"О голоморфном отображении


почти семи-келерова многообразия","\it С.Е.\,Степанов",Не найдено,08-11-2003.tex
Фазовое пространство одной неклассической модели,"\it Г.А.\,Свиридюк, В.В.\,Шеметова",Не найдено,08-11-2005.tex
Фазовое пространство одной неклассической модели,"\it Г.А.\,Свиридюк, В.В.\,Шеметова",Не найдено,08-11.TEX
"Алгоритм решения одной задачи\\


оптимального линейного упорядочения","\it Г.Г.\,Забудский",Не найдено,08-12-1997.tex
Линейная свертка критериев\\ в бикритериальной оптимизации,"\it М.К.\,Кравцов, О.А.\,Янушкевич",Не найдено,08-12-1998.tex
"О нецелочисленных вершинах многогранника многоиндексной


аксиальной задачи выбора","\it М.К.\,Кравцов, Е.В.\,Лукшин",Не найдено,08-12-1999.tex
Обобщенное решение многомерных полулинейных гиперболических систем,"\it В.А.\,Терлецкий",Не найдено,08-12-2001.tex
"Модернизация методов градиентного типа\\


в задачах оптимального управления","\it В.А.\,Срочко",Не найдено,08-12-2002.tex
"Обобщенное решение одномерных полулинейных


гиперболических систем со смешанными условиями","\it В.А.\,Терлецкий",Не найдено,08-12-2004.tex
"Обобщенное решение одномерных полулинейных


гиперболических систем со смешанными условиями","\it В.А.\,Терлецкий",Не найдено,08-12.TEX
"Асимптотические решения системы уравнений пологих\\ 


оболочек в виде двумерных волновых пакетов","\it Г.И.\,Михасев",Не найдено,08-2-1998.tex
"К вопросу о локальной управляемости\\


в критическом случае","\it Ю.В.\,Мастерков",Не найдено,08-2-1999.tex
"Оценки коэффициентов Фурье--Хаара для функций двух переменных


с ограниченной вариацией","\it С.Ю.\,Галкина",Не найдено,08-2-2001.tex
"К вопросу о построении корректных расширений\\


в классе конечно-аддитивных мер","\it А.Г.\,Ченцов",Не найдено,08-2-2002.tex
"Интегральное представление Коши--Вейля\\ 


для матричных функций","\it Б.А.\,Шаимкулов",Не найдено,08-2-2003.tex
"Решение задачи Трикоми для уравнения


смешанного типа с сингулярным коэффициентом


спектральным методом","\it К.Б.\,Сабитов, Р.Р.\,Ильясов",Не найдено,08-2-2004.tex
Прямые суммы слабо регулярных модулей,"\it А.Н.\,Абызов",Не найдено,08-2-2005.tex
Прямые суммы слабо регулярных модулей,"\it А.Н.\,Абызов",Не найдено,08-2.TEX
Не найдено,Не найдено,Не найдено,08-2A--1.tex
Не найдено,Не найдено,Не найдено,08-2A.TEX
"О некоторых симметриях и инвариантных решениях\\


уравнения динамики неньютоновской жидкости. II","\it С.Л.\,Тонконог, Л.Д.\,Эскин",Не найдено,08-3-1998.tex
"О геометрии псевдопотенциалов эволюционного


уравнения третьего порядка","\it К.В.\,Семенов",Не найдено,08-3-2001.tex
"Оптимальные по порядку скорости сходимости кусочно-равномерные


сетки для сингулярно возмущенных уравнений конвекции--диффузии","\it Г.И.\,Шишкин",Не найдено,08-3-2002.tex
Аналитическое решение векторных краевых задач теории газов,"\it В.В.\,Сушков",Не найдено,08-3-2003.tex
"Смешанная вариационная формулировка задачи\\ о пластине, 


свободно опертой по криволинейному контуру","\it С.П.\,Павлов, В.А.\,Крысько",Не найдено,08-3-2004.tex
"Краевые задачи и лиувиллевы теоремы\\ для полулинейных эллиптических


уравнений\\ на римановых многообразиях","\it Е.А.\,Мазепа",Не найдено,08-3-2005.tex
"Краевые задачи и лиувиллевы теоремы\\ для полулинейных эллиптических


уравнений\\ на римановых многообразиях","\it Е.А.\,Мазепа",Не найдено,08-3.TEX
"МЕТОД ДЕКОМПОЗИЦИИ ДЛЯ СИНГУЛЯРНО ВОЗМУЩЕННЫХ\\


КРАЕВЫХ ЗАДАЧ С ЛОКАЛЬНЫМ ВОЗМУЩЕНИЕМ НАЧАЛЬНЫХ \\


УСЛОВИЙ. УРАВНЕНИЯ С КОНВЕКТИВНЫМИ ЧЛЕНАМИ","\it Г.И. ШИШКИН, И.В. ЦЕЛИЩЕВА",Не найдено,08-4-1997.tex
Характеризация минимальных не $\FF$-групп,"\it Л.Я.\,Поляков, В.Н.\,Семенчук",Не найдено,08-4-1998.tex
"К вопросу об осцилляционности спектра\\ 


многоточечной краевой задачи","\it А.Л.\,Тептин",Не найдено,08-4-1999.tex
"Об одной нелинейной краевой задаче\\


с несуммируемой особенностью","\it М.Ж.\,Алвеш",Не найдено,08-4-2000.tex
"О применении теории степени к исследованию\\


одной задачи с наклонной производной","\it Н.М.\,Ратинер",Не найдено,08-4-2001.tex
"О численном решении уравнений экстремалей 


вариационной задачи с ограничениями","\it Р.Г.\,Мухарлямов",Не найдено,08-4-2002.tex
"Критерий устойчивости по части переменных 


автономной системы дифференциальных уравнений","\it К.М.\,Чудинов",Не найдено,08-4-2003.tex
"К теореме Валирона о соотношениях\\


между максимумом модуля\\


и максимальным членом целого ряда Дирихле","\it П.В.\,Филевич",Не найдено,08-4-2004.tex
"Экстремальные свойства решений разностной


задачи Трикоми для одной сеточной системы уравнений


смешанного типа и их применения","\it К.Б.\,Сабитов, М.Ф.\,Мугафаров",Не найдено,08-4-2005.tex
"Экстремальные свойства решений разностной


задачи Трикоми для одной сеточной системы уравнений


смешанного типа и их применения","\it К.Б.\,Сабитов, М.Ф.\,Мугафаров",Не найдено,08-4.TEX
О РЕШЕТОЧНО УНИВЕРСАЛЬНЫХ МНОГООБРАЗИЯХ АЛГЕБР,"\it В.Б.\,РЕПНИЦКИЙ",Не найдено,08-5-1997.tex
"Сингулярные интегральные уравнения\\


на счетном множестве замкнутых неспрямляемых\\


и фрактальных кривых","\it С.Р.\,Миронова",Не найдено,08-5-1998.tex
"Исследование одномерных уравнений\\ 


статического состояния мягкой оболочки","\it Р.Р.\,Шагидуллин",Не найдено,08-5-1999.tex
"Спектральный метод исследования устойчивости  


некоторых классов неавтономных дифференциальных уравнений","\it Ю.А.\,Коняев",Не найдено,08-5-2000.tex
"Оснащения и аффинные связности \\ 


на распределениях конформного пространства","\it А.В.\,Столяров",Не найдено,08-5-2002.tex
Смешанная задача для $B$-гиперболического уравнения,"\it С.М.\,Гафурова",Не найдено,08-5-2003.tex
"Связности Бэклунда и отображения Бэклунда,


соответствующие эволюционным уравнениям второго


порядка","\it А.К.\,Рыбников, К.В.\,Сем\""енов",Не найдено,08-5-2004.tex
"Криволинейные три-ткани, допускающие  


однопараметрическое семейство  


автоморфизмов","\it А.М.\,Шелехов",Не найдено,08-5-2005.tex
"Криволинейные три-ткани, допускающие  


однопараметрическое семейство  


автоморфизмов","\it А.М.\,Шелехов",Не найдено,08-5.TEX
"$D$-условия Каратеодори и их связь \\


с $D$-непрерывностью оператора Немыцкого","\it И.В.\,Шрагин, Ю.В.\,Непомнящих",Не найдено,08-6-1997.tex
"Теоретико-групповой смысл \\


пространств Нейфельда","\it Б.А.\,Розенфельд",Не найдено,08-6-1998.tex
Не найдено,"\it А.Г.\,Лосев, Е.А.\,Мазепа",Не найдено,08-6-1999.tex
"Решение игр многих лиц с помощью градиентного метода прогнозного 


типа","\it С.В.\,Шпирко",Не найдено,08-6-2000.tex
"Двусторонние оценки решений интегродифференциального уравнения,\\


описывающего процесс кроветворения","\it Н.В.\,Перцев",Не найдено,08-6-2001.tex
"Об эквивалентности локальной достижимости\\


и полной управляемости линейных систем","\it С.Н.\,Попова",Не найдено,08-6-2002.tex
"Спектральные свойства краевой задачи с производной по нормали в 


граничном условии для уравнений смешанного типа и их применения","\it К.Б.\,Сабитов, С.Л.\,Хасанова",Не найдено,08-6-2003.tex
"Обратная начальная задача для


некоторых линейных систем


дифференциально-разностных уравнений","\it В.Б.\,Черепенников",Не найдено,08-6-2004.tex
"Вещественный аналог преобразования Брайанта\\ и рациональные интегральные 


кривые\\ заданного распределения в $\Bbb{P","\it Ю.Л.\,Гилуч",Не найдено,08-6-2005.tex
"Вещественный аналог преобразования Брайанта\\ и рациональные интегральные 


кривые\\ заданного распределения в $\Bbb{P","\it Ю.Л.\,Гилуч",Не найдено,08-6.TEX
ОБ УРАВНЕНИЯХ С ВОЗМУЩЕННЫМИ АККРЕТИВНЫМИ ОТОБРАЖЕНИЯМИ,"\it И.П.\,РЯЗАНЦЕВА",Не найдено,08-7-1997.tex
"О разрешимости одной геометрически\\ 


нелинейной задачи теории пологих оболочек","\it И.Г.\,Терегулов, С.Н.\,Тимергалиев",Не найдено,08-7-1998.tex
Квазибулевы степени полурешеток,"\it В.Н.\,Салий",Не найдено,08-7-1999.tex
О клонах полиномов над бесконечными полями,"\it А.П.\,Семигродских",Не найдено,08-7-2000.tex
"Задача Коши для системы дифференциальных уравнений с двумя 


неизвестными функциями\\ двух аргументов","\it{\fbox {Т.В.\,Чекмар\""ев",Не найдено,08-7-2001.tex
"Бифуркация ограниченных решений системы обыкновенных 


дифференциальных уравнений","\it Ю.В.\,Усач\""ев",Не найдено,08-7-2002.tex
О некоторых классах уравнений\\ в сверточной алгебре $D'_+$,"\it Л.Г.\,Салехов, Л.Л.\,Салехова",Не найдено,08-7-2004.tex
Полугруппы с неплотно заданным\\ производящим оператором,"\it Ю.Т.\,Сильченко",Не найдено,08-7-2005.tex
Полугруппы с неплотно заданным\\ производящим оператором,"\it Ю.Т.\,Сильченко",Не найдено,08-7.TEX
"О геодезических отображениях\\ 


специальных метрических пространств","\it Е.Н.\,Сосов",Не найдено,08-8-1997.tex
Проблема полноты в классе многочленов разрешима,"\it В.Д.\,Соловьев",Не найдено,08-8-1998.tex
"Об условно рационально эквивалентных\\


дискриминаторных многообразиях","\it А.Г.\,Пинус",Не найдено,08-8-1999.tex
Ортогональные многочлены обобщенно-четного веса,"\fbox{\it Н.П.\,Фадеев",Не найдено,08-8-2000.tex
"Двумерные гомологии дополнения\\ алгебраической кривой в


$\Bbb C^2$  и $(\Bbb C\setminus \{0\","\it О.В.\,Яковлева",Не найдено,08-8-2001.tex
Об одном аналоге теоремы Пэли--Винера,"\it Д.К.\,Угулава",Не найдено,08-8-2002.tex
"Об аналогах теоремы Бореля для пространств ультрадифференцируемых 


функций нормального типа",\it Д.А.Абанина,Не найдено,08-8-2003.tex
Приближенные решения\\ в задаче об асимптотической достижимости,"\it А.Г.\,Ченцов",Не найдено,08-8-2005.tex
Приближенные решения\\ в задаче об асимптотической достижимости,"\it А.Г.\,Ченцов",Не найдено,08-8.TEX
"Интегральный аналог уравнений Дарбу\\ 


для погружений двумерных метрик","\it И.Х.\,Сабитов",Не найдено,08-9-1997.tex
"Аналитические решения задач


о колебаниях упругих пластин и оболочек


с подкреплениями типа накладок","\it Ю.П.\,Жигалко, М.М.\,Торопова",Не найдено,08-9-1998.tex
"Двойственные аффинные связности\\ 


на регулярной гиперполосе","\it А.В.\,Столяров",Не найдено,08-9-1999.tex
Групповой анализ уравнений динамики неньютоновской жидкости,"\it С.Л.\,Тонконог",Не найдено,08-9-2000.tex
Непрерывность по Кудрявцеву\\ квазиконформных отображений,"\it Ю.А.\,Пешкичев",Не найдено,08-9-2001.tex
"Проекционные методы решения сингулярного интегрального уравнения 


Теодорсена","\it И.К.\,Рахимов",Не найдено,08-9-2002.tex
"О наилучших $N$-сетях ограниченных замкнутых выпуклых 


множеств в специальном метрическом пространстве","\it Е.Н.\,Сосов",Не найдено,08-9-2003.tex
"О некоторых операдах, связанных с операдой 


симметрических групп. I","\it С.Н.\,Тронин, Л.Д.\,Гареева",Не найдено,08-9-2004.tex
Тотальные и ко-тотальные степени перечислимости,"\it Б.Я.\,Солон",Не найдено,08-9-2005.tex
Тотальные и ко-тотальные степени перечислимости,"\it Б.Я.\,Солон",Не найдено,08-9.TEX
Верхняя оценка спектрального радиуса изотонного оператора,"\it Л.Ф.\,Рахматуллина",Не найдено,09-01-2000.tex
"О методе адаптирующихся сеток для сингулярно


возмущенных эллиптических уравнений реакции--диффузии в области


с криволинейной границей","\it Г.И.\,Шишкин",Не найдено,09-01-2005.tex
"О методе адаптирующихся сеток для сингулярно


возмущенных эллиптических уравнений реакции--диффузии в области


с криволинейной границей","\it Г.И.\,Шишкин",Не найдено,09-01.TEX
"Новый подход к решению краевой задачи Гильберта  


для аналитической функции в многосвязной области","\it Р.Б.\,Салимов",Не найдено,09-02-2000.tex
"Новый подход к решению краевой задачи Гильберта  


для аналитической функции в многосвязной области","\it Р.Б.\,Салимов",Не найдено,09-02.TEX
"Об индексе дефекта матричных дифференциальных операторов  


второго порядка с быстро осциллирующими коэффициентами","\it В.П.\,Серебряков",Не найдено,09-03-2000.tex
"Об индексе дефекта матричных дифференциальных операторов  


второго порядка с быстро осциллирующими коэффициентами","\it В.П.\,Серебряков",Не найдено,09-03.TEX
Не найдено,"\it С.Н.\,Тронин",Не найдено,09-1-1998.tex
"О классификации структур почти произведения\\ 


на многообразии с линейной связностью","\it С.Е.\,Степанов",Не найдено,09-1-1999.tex
"Почти контактные структуры


многообразия $P^0_n(\cal H)$","\it Ю.И.\,Попов",Не найдено,09-1-2002.tex
"Численные методы на адаптивных сетках для сингулярно возмущенных


эллиптических уравнений\\ в области с криволинейной границей","\it Г.И.\,Шишкин",Не найдено,09-1-2003.tex
"О схемах формирования ведущей последовательности 


в регуляризованном экстраградиентном методе


решения вариационных неравенств","\it Л.Д.\,Попов",Не найдено,09-1-2004.tex
"О схемах формирования ведущей последовательности 


в регуляризованном экстраградиентном методе


решения вариационных неравенств","\it Л.Д.\,Попов",Не найдено,09-1.TEX
Новый критерий принадлежности оператора классу $K(H)$,"\it Л.И.\,Сухочева",Не найдено,09-10-1997.tex
"Интегрирование по плоской фрактальной кривой,\\  


задача о скачке и обобщенные меры","\it Б.А.\,Кац",Не найдено,09-10-1998.tex
"Полиномиальные квазирешения линейных систем


дифференциально-разностных уравнений","\it В.Б.\,Черепенников",Не найдено,09-10-1999.tex
"О существовании слабого решения одной задачи ненасыщенной


фильтрационной консолидации","\it М.Ф.\,Павлова, Е.В.\,Шемуранова",Не найдено,09-10-2001.tex
Теоретико-множественная структура вычислимых множеств,"\it А.Н.\,Фролов",Не найдено,09-10-2003.tex
"Некоторые вопросы приближения частными суммами \\ рядов


Фабера--Шаудера в метрике пространства $\varphi(L)$","\it С.Б.\,Вакарчук, А.Н.\,Щитов",Не найдено,09-10-2004.tex
"Внутренняя геометрия сетей 


на гиперповерхности конформного пространства","\it Т.Н.\,Андреева",Не найдено,09-10-2005.tex
"Внутренняя геометрия сетей 


на гиперповерхности конформного пространства","\it Т.Н.\,Андреева",Не найдено,09-10.TEX
"Термодинамические потенциалы и математическое\\


моделирование процесса течения вязких сред","\it И.Г.\,Терегулов",Не найдено,09-11-1997.tex
"Представление полугруппы эндоморфизмов\\


конечной группы на пространстве ее классовых функций","\it Ю.Б.\,Мельников ",Не найдено,09-11-1998.tex
К теории уравнений смешанного типа\\ с двумя линиями вырождения,"\it К.Б.\,Сабитов, А.А.\,Карамова, Г.Г.\,Шарафутдинова",Не найдено,09-11-1999.tex
"Фундаментальные дифференциальные операторы


первого порядка на внешних и симметрических формах","\it М.В.\,Смольникова, С.Е.\,Степанов",Не найдено,09-11-2002.tex
Пространство проективно-метрической связности,"\it А.В.\,Столяров",Не найдено,09-11-2003.tex
"Квазистратегии в абстрактной задаче


управления и метод программных итераций (прямая версия)","\it А.Г.\,Ченцов",Не найдено,09-11-2005.tex
"Квазистратегии в абстрактной задаче


управления и метод программных итераций (прямая версия)","\it А.Г.\,Ченцов",Не найдено,09-11.TEX
О системах вариационных неравенств,"\it И.В.\,Коннов",Не найдено,09-12-1997.tex
"Об одноэтапном методе решения\\ 


лексикографических вариационных неравенств","\it Л.Д.\,Попов",Не найдено,09-12-1998.tex
"Об одном способе построения параметрического\\ синтеза для


линейно-квадратичной\\ задачи оптимального управления","\it Е.А.\,Лутковская",Не найдено,09-12-1999.tex
"Приближенные методы для прямо-двойственных\\


вариационных неравенств смешанного типа","\it И.В.\,Коннов",Не найдено,09-12-2000.tex
"К вопросу о двойственности различных версий\\ метода


программных итераций","\it А.Г.\,Ченцов",Не найдено,09-12-2001.tex
"О существовании и единственности решения\\


задачи равновесного программирования ","\it С.В.\,Шпирко",Не найдено,09-12-2002.tex
"О существовании и единственности решения\\


задачи равновесного программирования ","\it С.В.\,Шпирко",Не найдено,09-12.TEX
"Аменабельные $L_1(G)$-модули, усредняемые функции\\


и пространства со смешанной нормой","\it А.Г.\,Мясников",Не найдено,09-2-1998.tex
"О положительности функции Грина линейных


краевых\\ задач для уравнений четвертого порядка на графе","\it Ю.В.\,Покорный, Р.\,Мустафокулов",Не найдено,09-2-1999.tex
Базисный аналог обобщенной $H$-функции,\it Нгуен Суан Тхао,Не найдено,09-2-2001.tex
"О необходимых и достаточных условиях\\ медленной  


сходимости методов решения\\ линейных некорректных задач","\it М.Ю.\,Кокурин, Н.А.\,Юсупова",Не найдено,09-2-2002.tex
"Однолистность решения внешней обратной краевой задачи  


по параметрам $x$, $y$","\it Н.Р.\,Абубакиров",Не найдено,09-2-2003.tex
"Скорость приближения функций средними Чезаро


отрицательного порядка двойных ортогональных рядов","\it Л.Г.\,Коваленко",Не найдено,09-2-2004.tex
"Конструирование явных методов типа Рунге--Кутта


интегрирования систем специального вида","\it И.В.\,Олемской",Не найдено,09-2-2005.tex
"Конструирование явных методов типа Рунге--Кутта


интегрирования систем специального вида","\it И.В.\,Олемской",Не найдено,09-2.TEX
Об одном свойстве ортогональных поверхностей,"\it М.А.\,Чешкова",Не найдено,09-3-1998.tex
"О непрерывности и связности метрической $\delta$-проекции\\


в равномерно выпуклом геодезическом пространстве","\it Е.Н.\,Сосов",Не найдено,09-3-2001.tex
"К прямым методам решения интегральных уравнений \\


с логарифмически ослабленными ядрами Коши \\


на разомкнутых контурах","\it А.Ф.\,Галимянов",Не найдено,09-3-2002.tex
"Связь полугрупп с особенностью\\ и


интегрированных полугрупп","\it С.П.\,Торопова",Не найдено,09-3-2003.tex
"Уравнения, описывающие динамику\\ неньютоновской жидкости \\


с реологическим законом Рейнера--Ривлина. \\ I. \ Групповой анализ","\it Л.Д.\,Эскин",Не найдено,09-3-2004.tex
"О равномерной сходимости приближенных решений слабосингулярных


интегральных уравнений I рода","\it А.В.\,Ожегова",Не найдено,09-3-2005.tex
"О равномерной сходимости приближенных решений слабосингулярных


интегральных уравнений I рода","\it А.В.\,Ожегова",Не найдено,09-3.TEX
"ПОСТРОЕНИЕ ДВУ- И ТРЕХМЕРНЫХ СЕТОК ДЛЯ ЗАДАЧ\\ 


ГАЗОДИНАМИКИ НА ОСНОВЕ УРАВНЕНИЯ ПУАССОНА","\it С.Н.\,МАРТЮШОВ",Не найдено,09-4-1997.tex
"О сильном дифференцировании интегралов\\


функций из многомерных классов Харди","\it А.М.\,Стоколос",Не найдено,09-4-1998.tex
Перестройки торов в алгебре Цассенхауза,"\it С.А.\,Тюрин",Не найдено,09-4-1999.tex
"О методах полудискретизации для квазилинейных уравнений


с некомпактной полугруппой","\it И.Н.\,Гурова",Не найдено,09-4-2000.tex
"Оценки максимального члена\\


ряда Дирихле снизу","\it О.М.\,Cумык, М.Н.\,Шеремета",Не найдено,09-4-2001.tex
Граничное поведение интеграла\\ типа логарифмического вычета,"\it С.Г.\,Мысливец",Не найдено,09-4-2002.tex
"Левый регуляризирующий оператор для алгебро-дифференциальной системы 


с запаздыванием","\it А.А.\,Щеглова",Не найдено,09-4-2003.tex
"Уравнения, описывающие динамику\\ неньютоновской жидкости \\


с реологическим законом Рейнера--Ривлина. \\ II.  \ Инвариантные решения","\it Л.Д.\,Эскин",Не найдено,09-4-2004.tex
"О некоторых условиях разрешимости переопределенных систем


дифференциальных уравнений в пространствах Соболева","\it А.А.\,Шлапунов",Не найдено,09-4-2005.tex
"О некоторых условиях разрешимости переопределенных систем


дифференциальных уравнений в пространствах Соболева","\it А.А.\,Шлапунов",Не найдено,09-4.TEX
"ИНВАРИАНТНЫЕ ПРОСТРАНСТВА И ДИХОТОМИИ РЕШЕНИЙ\\ 


ОДНОГО КЛАССА ЛИНЕЙНЫХ УРАВНЕНИЙ ТИПА СОБОЛЕВА$\,{","\it Г.А.\,СВИРИДЮК, А.В.\,КЕЛЛЕР",Не найдено,09-5-1997.tex
Весовые оценки преобразования Лапласа,"\it О.Г.\,Парфенов",Не найдено,09-5-1998.tex
"Повышение точности приближенных решений коррекцией невязки


для сингулярно возмущенных


уравнений с конвективными членами","\it Г.И.\,Шишкин",Не найдено,09-5-1999.tex
"К вопросу об индексе дефекта матричных дифференциальных 


операторов второго порядка","\it В.П.\,Серебряков",Не найдено,09-5-2000.tex
"$U$-последовательности и почти изоморфизм абелевых


$\size{14","\it А.И.\,Шерстнева (Ботыгина)",Не найдено,09-5-2001.tex
Операды в категории конвексоров. II,"\it С.Н.\,Тронин",Не найдено,09-5-2002.tex
Фокальное изгибание семейств $L^m_{2n-1,"\it Т.Б.\,Жогова",Не найдено,09-5-2003.tex
Инфинитезимальные гармонические преобразования,"\it М.В.\,Смольникова, С.Е.\,Степанов, И.Г.\,Шандра",Не найдено,09-5-2004.tex
"Препятствия  к радиантности для гладких 


многообразий над алгебрами Вейля","\it В.В.\,Шурыгин",Не найдено,09-5-2005.tex
"Препятствия  к радиантности для гладких 


многообразий над алгебрами Вейля","\it В.В.\,Шурыгин",Не найдено,09-5.TEX
"О геометрии эволюционного уравнения\\ 


третьего порядка","\it К.В.\,Семенов",Не найдено,09-6-1998.tex
"Локальные операторы в некоторых подпространствах пространства


$L_0$","\it Ю.В.\,Непомнящих, А.В.\,Поносов",Не найдено,09-6-1999.tex
"Одна задача сопряжения аналитических функций в аффинно 


преобразованных областях\\ с кусочно-гладкими границами","\it И.Т.\,Денисюк",Не найдено,09-6-2000.tex
"Отыскание решений линейных дифференциально-разностных уравнений\\


в вырожденном случае","\it М.А.\,Солдатов, Т.М.\,Митрякова, В.А.\,Ильичев",Не найдено,09-6-2001.tex
"Об эллиптической краевой задаче с оператором суперпозиции  


в граничном условии. II","\it А.К.\,Ратыни",Не найдено,09-6-2002.tex
"Об устойчивости решений почти периодической системы


функционально-дифференциальных уравнений


нейтрального типа","\it Г.А.\,Троценко",Не найдено,09-6-2003.tex
"Об устойчивости по части переменных линейных  


автономных систем с последействием","\it К.М.\,Чудинов",Не найдено,09-6-2004.tex
"Об устойчивости по части переменных линейных  


автономных систем с последействием","\it К.М.\,Чудинов",Не найдено,09-6.TEX
"Относительная $\sigma$-ограниченность\\ 


линейных операторов","\it Г.А.\,Свиридюк, Т.Г.\,Сукачева, Л.Л.\,Дудко",Не найдено,09-7-1997.tex
"Проекционные методы решения исключительного\\ 


случая уравнений типа свертки","\it Н.Я.\,Тихоненко, Е.П.\,Цымбалюк",Не найдено,09-7-1998.tex
Об одном классе возмущенных операторов,"\it А.М.\,Сидоров",Не найдено,09-7-1999.tex
"О композиционных и локальных\\


критических формациях","\it М.М.\,Сорокина",Не найдено,09-7-2000.tex
"Кpитеpии базисной односвязности и их пpименение\\ к вопpосу о


pазpешимости уpавнения свеpтки","\it И.С.\,Шpайфель, И.М.\,Мальцев ",Не найдено,09-7-2001.tex
"Управляемость линейных уравнений соболевского типа


с относительно $\size{14","\it В.Е.\,Федоров, О.А.\,Рузакова",Не найдено,09-7-2002.tex
"Метод римановых поверхностей в задаче о межфазных трещинах и 


включениях при наличии сосредоточенных сил","\it В.В.\,Сильвестров",Не найдено,09-7-2004.tex
"Весовые оценки решения анизотропно вырождающегося уравнения


с граничными условиями Неймана в точках вырождения","\it М.Р.\,Тимербаев",Не найдено,09-7-2005.tex
"Весовые оценки решения анизотропно вырождающегося уравнения


с граничными условиями Неймана в точках вырождения","\it М.Р.\,Тимербаев",Не найдено,09-7.TEX
Не найдено,"\it С.Н.\,Тронин",Не найдено,09-8-1997.tex
"Геометрия грассманова расслоения. II\,${","\it Н.К.\,Фарафонова",Не найдено,09-8-1998.tex
"Определение нормы ядер конечных интегральных преобразований и их 


приложение","\it Ю.Э.\,Сеницкий, С.А.\,Лычев",Не найдено,09-8-1999.tex
